date,star_rate,review
2021.08.30,5.0,사이즈가 적당해서 좋아요
2021.08.30,5.0,항상 구매하는 상품입니다.
2021.08.30,4.0,쿠폰 자주 뜨면 많이 쟁기고싶어요 역시 탄산은 콜라죠!!
2021.08.30,5.0,만족합니다.맛있어요
2021.08.30,5.0,190ml가 한번 맛있게먹기 딱좋아요ㅋ
2021.08.30,5.0,제로 재구매 양도딱입니다
2021.08.30,5.0,제로라 재구매합니다
2021.08.30,5.0,"콜라 싸게 잘샀어요
배송도 빠르고 좋네요"
2021.08.30,5.0,시원하게 냉장고에 넣어두고 마셔요ㅋ
2021.08.30,5.0,콜라는 쟁여야 맛이져ㅋ
2021.08.29,5.0,행사로 싸게사서 만족해요
2021.08.27,5.0,저렴한 가격. 꼼꼼한 포장=엄빠크리 안 터지는 박스포장.
2021.08.27,5.0,가격도 저렴하고 배송도빠르고박스포장으로깔끔하게배송됐어요
2021.08.16,5.0,항상 쟁여두고 먹는 콜라 굿~
2021.08.16,5.0,항상 구비해두고 마시는 콜라~~
2021.08.14,5.0,저렴한 가격에잘 구매했어요. 맛있어요.
2021.08.14,5.0,잘 받았습니다 감사합니다
2021.08.14,5.0,잘 받았습니다 감사합니다
2021.08.09,5.0,"상자에 담겨서 안전하게 배송 해주셨어요
가격도 만족합니다"
2021.08.07,5.0,"좋아요
이벤트 코카콜라를 이 가격에 살수있다니 너무 만족합니다
다만 배송상에 문제로 몇개가 찌그러져있지만 터지지않았으니 문제없습니다
다음에도 꼭 구매할께요"
2021.08.05,5.0,다른업체에선 그냥 보내서 캔 찌그러지는 경우도 종종있었는데 여기는 박스포장 한번더꼼꼼하게해서 보내주셔서 먼지들어가서나 캔찍힘없이 깨끗하게 잘 받았어요^^배송도 빠르고 가성비 넘좋음 이젠 여기 단골하려고요~ 완전추천👍쵝오임
